word,phonetic_spelling,phonemes
Leila,LAY-luh,L IY  L AH
Daphne,DAF-nee,D AE  F N IY
Faith,FAYTH,F EY  TH
Lennon,LEN-un,L EH  N AH  N
Stevie,STEE-vee,S T IY  V IY
Mariana,mar-ee-AH-nuh,M EH  R IY  AE  N AH
Morgan,MOR-gun,M AO  R G AH  N
Juliana,joo-lee-AH-nuh,JH UW  L IY  AE  N AH
Gracie,GRAY-see,G R EY  S IY
Miriam,MIR-ee-um,M IH  R IY  AH  M
Daniela,dan-YEL-uh,D AE  N Y EH  L AH
Dahlia,DAL-yuh or DAHL-yuh,D AE  L Y AH
Rachel,RAY-chul,R EY  CH AH  L
Angela,AN-juh-luh,AE  N JH AH  L AH
Lilly,LIL-ee,L IH  L IY
Samara,suh-MAR-uh,S AE  M ER  AH
Taylor,TAY-lur,T EY  L ER
Dakota,duh-KOH-tuh,D AH  K OW  T AH
Lola,LOH-luh,L OW  L AH
Ophelia,oh-FEE-lee-uh,AH  F IY  L Y AH
Camille,kuh-MEEL,K AH  M IY  L
Milani,mee-LAH-nee,M IY  L AA  N IY
Lena,LEE-nuh or LAY-nuh (varies by region),L IY  N AH
Elaina,uh-LAY-nuh,IH  L EY  N AH
Malia,muh-LEE-uh,M AA  L IY  AH
Elise,eh-LEES,AH  L IY  S
Celeste,suh-LEST,S AH  L EH  S T
Palmer,PAHL-mur,P AA  M ER
Mabel,MAY-bel,M EY  B AH  L
Octavia,ahk-TAY-vee-uh,AA  K T EY  V IY  AH
Sawyer,SOY-ur,S AO  Y ER
Jane,JAYN,JH EY  N
Finley,FIN-lee,F IH  N L IY
Marley,MAR-lee,M AA  R L IY
Adelaide,AD-uh-layd,AE  D AH  L EY  D
Lucille,loo-SEEL,L UW  S IY  L
Shiloh,SHY-loh,SH AY  L OW
Ariel,AIR-ee-uhl or ah-REE-el,EH  R IY  AH  L
Poppy,POP-ee,P AA  P IY
Juliet,joo-lee-ET,JH UW  L IY  EH  T
Maisie,MAY-zee,M EY  Z IY
Danna,DAN-uh,D AE  N AH
Gabriela,gab-ree-EL-uh,G AA  B R IY  EH  L AH
Noa,NOH-uh,N OW  AH
Brooke,BROOK,B R UH  K
Celine,suh-LEEN,S AH  L IY  N
Boys,,B OY  Z
Liam,LEE-um,L IY  AH  M
Noah,NOH-uh,N OW  AH
Oliver,AH-lih-ver,AA  L AH  V ER
James,JAYMZ,JH EY  M Z
Elijah,ee-LY-juh,EH  L AY  JH AH
Mateo,mah-TAY-oh,M AA  T EY  OW
Theodore,THEE-uh-dor,TH IY  AH  D AO  R
Henry,HEN-ree,HH EH  N R IY
Lucas,LOO-kus,L UW  K AH  S
William,WIL-yum,W IH  L Y AH  M
Benjamin,BEN-juh-min,B EH  N JH AH  M AH  N
Levi,LEE-vye,L IY  V AY
Sebastian,suh-BAS-chun,S AH  B AE  S CH AH  N
Jack,JAK,JH AE  K
Ezra,EZ-ruh,EH  Z R AH
Michael,MY-kul,M AY  K AH  L
Daniel,DAN-yul,D AE  N Y AH  L
Leo,LEE-oh,L IY  OW
Owen,OH-en,OW  AH  N
Samuel,SAM-yoo-ul,S AE  M Y UW  L
Hudson,HUD-sun,HH AH  D S AH  N
Alexander,al-ig-ZAN-der,AE  L AH  G Z AE  N D ER
Asher,ASH-er,AE  SH ER
Luca,LOO-kuh,L UW  K AH
Ethan,EE-thun,IY  TH AH  N
John,JON,JH AA  N
David,DAY-vid,D EY  V IH  D
Jackson,JAK-sun,JH AE  K S AH  N
Joseph,JOH-sef,JH OW  S AH  F
Mason,MAY-sun,M EY  S AH  N
Luke,LOOK,L UW  K
Matthew,MATH-yoo,M AE  TH Y UW
Julian,JOO-lee-un,JH UW  L IY  AH  N
Dylan,DIL-un,D IH  L AH  N
Elias,eh-LY-us,AH  L AY  AH  S
Jacob,JAY-kub,JH EY  K AH  B
Maverick,MAV-rik,M AE  V ER  IH  K
Gabriel,GAY-bree-ul,G EY  B R IY  AH  L
Logan,LOH-gun,L OW  G AH  N
Thomas,TAH-mas,T AA  M AH  S
Isaac,EYE-zik,AY  Z AH  K
Miles,MYLZ,M AY  L Z
Grayson,GRAY-sun,G R EY  S AH  N
Santiago,san-tee-AH-go,S AE  N T IY  AA  G OW
Anthony,AN-thuh-nee,AE  N TH AH  N IY
Wyatt,WYE-ut,W AY  AH  T
Carter,KAR-ter,K AA  R T ER
Ezekiel,eh-ZEE-kee-ul,EH  Z IH  K IY  L
Caleb,KAY-leb,K EY  L AH  B
Cooper,KOO-per,K UW  P ER
Josiah,joh-SYE-uh,JH OW  S AY  AH
Charles,CHARLZ,CH AA  R L Z
Christopher,KRIS-tuh-fer,K R IH  S T AH  F ER
Isaiah,eye-ZAY-uh,AY  Z EY  AH
Nolan,NOH-lun,N OW  L AH  N
Cameron,KAM-uh-run,K AE  M ER  AH  N
Nathan,NAY-thun,N EY  TH AH  N
Joshua,JOSH-yoo-uh,JH AA  SH UW  AH
Kai,KYE,K AY
Waylon,WAY-lun,W EY  L AA  N
Angel,AYN-jul,EY  N JH AH  L
Lincoln,LINK-un,L IH  NG K AH  N
Andrew,AN-droo,AE  N D R UW
Roman,ROH-mun,R OW  M AH  N
Adrian,AY-dree-un,EY  D R IY  AH  N
Aaron,AIR-un,EH  R AH  N
Wesley,WES-lee,W EH  S L IY
Ian,EE-un,IY  AH  N
Axel,AK-sul,AE  K S AH  L
Brooks,BROOKS,B R UH  K S
Bennett,BEN-it,B EH  N AH  T
Weston,WES-tun,W EH  S T AH  N
Rowan,ROH-un,R OW  AH  N
Christian,KRIS-chun,K R IH  S CH AH  N
Theo,THEE-oh,TH IY  OW
Beau,BOH,B OW
Eli,EE-lye,IY  L AY
Silas,SYE-lus,S AY  L AH  S
Jonathan,JON-uh-thun,JH AA  N AH  TH AH  N
Ryan,RYE-un,R AY  AH  N
Leonardo,lee-oh-NAR-doh,L IY  AH  N AA  R D OW
Walker,WAL-kur,W AO  K ER
Micah,MY-kuh,M AY  K AH
Everett,EV-er-it,EH  V ER  AH  T
Robert,RAW-burt,R AA  B ER  T
Enzo,EN-zoh,EH  N Z OW
Parker,PAR-kur,P AA  R K ER
Jeremiah,jair-uh-MYE-uh,JH EH  R AH  M AY  AH
Jose,ho-ZAY,HH OW  Z EY
Colton,KOHL-tun,K OW  L T AH  N
Luka,LOO-kuh,L UW  K AH
Easton,EES-tun,IY  S T AH  N
Landon,LAN-dun,L AE  N D AH  N
Jordan,JOR-dun,JH AO  R D AH  N
Amir,ah-MEER,AH  M IH  R
Gael,GAH-el,G EY  L
Austin,AW-stin,AO  S T AH  N
Adam,AH-dum,AE  D AH  M
Jameson,JAYM-sun,JH EY  M S AH  N
August,AW-gust,AA  G AH  S T
Xavier,EX-zay-vee-er or ZAY-vee-er,Z EY  V Y ER
Myles,MYLZ,M AY  L Z
Dominic,DOM-in-ik,D AA  M AH  N IH  K
Damian,DAY-mee-un,D EY  M IY  AH  N
Nicholas,NIK-oh-lus,N IH  K AH  L AH  S
Carson,KAR-sun,K AA  R S AH  N
Atlas,AT-lus,AE  T L AH  S
Adriel,AH-dree-el,AH  D R IY  L
Hunter,HUN-ter,HH AH  N T ER
River,RI-vur,R IH  V ER
Emmett,EM-it,EH  M IH  T
Harrison,HAR-uh-sun,HH EH  R IH  S AH  N
Vincent,VIN-sunt,V IH  N S AH  N T
Milo,MY-loh,M AY  L OW
Jasper,JAS-pur,JH AE  S P ER
Giovanni,jee-oh-VAH-nee,JH IY  OW  V AA  N IY
Jonah,JOH-nuh,JH OW  N AH
Zion,ZYE-un,Z AY  AH  N
Connor,KON-or,K AA  N ER
Sawyer,SOY-ur,S AO  Y ER
Arthur,AR-thur,AA  R TH ER
Ryder,RYE-dur,R AY  D ER
Archer,AR-chur,AA  R CH ER
Lorenzo,loh-REN-zoh,L ER  EH  N Z OW
Luis,loo-EES,L UW  IY  S
Diego,dee-AY-goh,D IY  EY  G OW
George,JORJ,JH AO  R JH
Evan,EH-vun,EH  V AH  N
Carlos,KAR-lohs,K AA  R L OW  S
Graham,GRAM,G R EY  AH  M
Juan,hwahn,W AA  N
Kingston,KING-stun,K IH  NG S T AH  N
Nathaniel,nuh-THAN-yul,N AH  TH AE  N Y AH  L
Matteo,mah-TAY-oh,M AA  T EY  OW
Legend,LEH-jend,L EH  JH AH  N D
Jason,JAY-sun,JH EY  S AH  N
Leon,LEE-on,L IY  AA  N
Dawson,DAW-sun,D AO  S AH  N
Bryson,BRY-sun,B R AY  S AH  N
Amari,ah-MAR-ee,AA  M AA  R IY
Calvin,KAL-vin,K AE  L V AH  N
Ivan,EYE-vun,AY  V AH  N
Chase,CHAYS,CH EY  S
Cole,KOHL,K OW  L
Ashton,ASH-tun,AE  SH T AH  N
Ace,AYS,EY  S
Dean,DEEN,D IY  N
Jude,JOOD,JH UW  D
Hayden,HAY-dun,HH EY  D AH  N
Max,MAKS,M AE  K S
Matias,mah-TEE-us,M AA  SH AH  Z
Rhett,RET,R EH  T
Elliott,EL-ee-ut,EH  L IY  AH  T
Alan,AL-un,AE  L AH  N
Braxton,BRAKS-tun,B R AE  K S T AH  N
Zachary,ZAK-uh-ree,Z AE  K ER  IY
Jesus,hay-SOOS,JH IY  Z AH  S
Emmanuel,eh-MAN-yoo-el,IH  M AE  N Y UW  AH  L
Charlie,CHAR-lee,CH AA  R L IY
Judah,JOO-duh,JH UW  D AH
Tyler,TYE-lur,T AY  L ER
Elliot,EL-ee-ut,EH  L IY  AH  T
Antonio,an-TOH-nee-oh,AE  N T OW  N IY  OW
Emilio,eh-MEE-lee-oh,AH  M IY  L IY  OW
Camden,KAM-dun,K AE  M D AH  N
Stetson,STET-sun,S T EH  T S AH  N
Maxwell,MAKS-well,M AE  K S W EH  L
Ryker,RYE-kur,R AY  K ER
Justin,JUS-tin,JH AH  S T AH  N
Kevin,KEV-in,K EH  V IH  N
Messiah,meh-SYE-uh,M AH  S AY  AH
Finn,FIN,F IH  N
Bentley,BENT-lee,B EH  N T L IY
Felix,FEE-liks,F IY  L IH  K S
Nicolas,NIK-oh-lus,N IH  K AH  L AH  S
Miguel,mee-GEL,M IH  G EH  L
Maddox,MAD-uks,M AE  D AH  K S
Beckett,BEK-it,B EH  K IH  T
Tate,TAYT,T EY  T
Beckham,BEK-um,B EH  K HH AE  M
Andres,ahn-DRES,AA  N D R EY  Z
Alejandro,ah-leh-HAHN-droh,AA  L EY  Y AA  N D R OW
Alex,AL-ex,AE  L AH  K S
Jesse,JES-ee,JH EH  S IY
Brody,BROH-dee,B R OW  D IY
Tucker,TUK-ur,T AH  K ER
Jett,JET,JH EH  T
Barrett,BARE-it,B AE  R IH  T
Knox,NOKS,N AA  K S
Hayes,HAYZ,HH EY  Z
Peter,PEE-ter,P IY  T ER
Timothy,TIM-oh-thee,T IH  M AH  TH IY
Joel,JOHL,JH OW  AH  L
Edward,ED-werd,EH  D W ER  D
Griffin,GRIF-in,G R IH  F IH  N
Oscar,OS-kur,AO  S K ER
Victor,VIK-tor,V IH  K T ER
Abraham,AY-brah-ham,EY  B R AH  HH AE  M
Brandon,BRAN-dun,B R AE  N D AH  N
Abel,AY-bul,EY  B AH  L
Richard,RICH-urd,R IH  CH ER  D
Callum,KAL-um,K AE  L AH  M
Riley,RYE-lee,R AY  L IY
Patrick,PAT-rik,P AE  T R IH  K
Karter,KAR-ter,K AA  R T ER
Eric,AIR-ik,EH  R IH  K
Grant,GRANT,G R AE  N T
Israel,IZ-ree-ul,IH  Z R IY  AH  L
Milan,MEE-lahn,M AH  L AA  N
Gavin,GAV-in,G AE  V IH  N
Rafael,rah-fie-EL,R AA  F AY  EH  L
Tatum,TAY-tum,T EY  T AH  M
Louis,LOO-ee or LOO-is,L UW  IH  S
Lukas,LOO-kus,L UW  K AH  Z
Javier,hah-VYER,HH AA  V IY  EH  R
Nico,NEE-koh,N IY  K OW
Avery,AY-vree,EY  V ER  IY
Rory,ROR-ee,R AO  R IY
Ismael,IZ-my-el,IH  S M EY  L
Jeremy,JER-uh-mee,JH EH  R AH  M IY
Cohen,KOH-en,K OW  AH  N
Simon,SYE-mun,S AY  M AH  N
Marcus,MAR-kus,M AA  R K AH  S
Steven,STEE-vun,S T IY  V AH  N
Mark,MARK,M AA  R K
Dallas,DAL-us,D AE  L AH  S
Tristan,TRIS-tun,T R IH  S T AE  N
Lane,LAYN,L EY  N
Blake,BLAYK,B L EY  K
Paul,PAWL,P AO  L
Paxton,PAKS-tun,P AE  K S T AH  N
Bryce,BRYS,B R AY  S
Nash,NASH,N AE  SH
Crew,KROO,K R UW
Kash,KASH,K AE  SH
Kenneth,KEN-eth,K EH  N IH  TH
Omar,OH-mar,OW  M AA  R
Colt,KOHLT,K OW  L T
Lennox,LEN-oks,L EH  N AH  K S
King,KING,K IH  NG
Walter,WAL-tur,W AO  L T ER
Emerson,EM-er-sun,EH  M ER  S AH  N
Phoenix,FEE-niks,F IY  N IH  K S
Derek,DER-ik,D EH  R IH  K
Muhammad,moo-HAH-med,M UH  HH AA  M AH  D
Ellis,EL-is,EH  L IH  S
Preston,PRES-tun,P R EH  S T AH  N
Jorge,HOR-hay,HH AO  R HH EY
Zane,ZAYN,Z EY  N
Cade,KAYD,K EY  D
Tobias,toh-BYE-us,T AH  B AY  AH  S
Otto,AW-toh,AA  T OW
Kaden,KAY-dun,K EY  D AH  N
Remington,REM-ing-tun,R EH  M IH  NG T AH  N
Atticus,AT-ih-kus,AE  T IH  K AH  S
Finley,FIN-lee,F IH  N L IY
Holden,HOHL-dun,HH OW  L D AH  N
Cash,KASH,K AE  SH
Martin,MAR-tin,M AA  R T AH  N
Ronan,ROH-nun,R OW  N AH  N
Malcolm,MAL-kum,M AE  L K AH  M
Romeo,ROH-mee-oh,R OW  M IY  OW
Francisco,fran-SEES-koh,F R AE  N S IH  S K OW
Cyrus,SYE-rus,S AY  R AH  S
Angelo,AN-juh-loh,AE  N JH AH  L OW
Aidan,AY-dun,AA  IY  D AA  N
Food,,F UW  D
Pasta,PAH-stuh,P AA  S T AH
Bread,BRED,B R EH  D
Pancakes,PAN-kayks,P AE  N K EY  K S
Burger,BUR-ger,B ER  G ER
Pizza,PEET-zuh,P IY  T S AH
Banana,buh-NA-nuh,B AH  N AE  N AH
Bagel,BAY-gul,B EY  G AH  L
Muffins,MUH-fin,M AH  F AH  N Z
Cheesecake,CHEEZ-kayk,CH IY  Z K EY  K
Cheese,CHEEZ,CH IY  Z
Doritos,doh-REE-tohz,D AO  R IY  T OW  Z
Tacos,TAH-kohz,T AA  K OW  Z
Burritos,buh-REE-tohz,B ER  IY  T OW  S
Enchilada,en-chuh-LAH-duh,EH  N CH IH  L AA  D AH
Salsa,SAHL-suh,S AO  L S AH
Broccoli,BRAH-kuh-lee,B R AA  K AH  L IY
Kiwi,KEE-wee,K IY  W IY
Tomato,tuh-MAY-toh,T AH  M EY  T OW
Salad,SAL-uhd,S AE  L AH  D
Steak,STAYK,S T EY  K
Ribs,RIBZ,R IH  B Z
Hot Dogs,HOT dawgs,HH AA  T D AO  G Z
Eggs,EHGZ,EH  G Z
Bacon,BAY-kun,B EY  K AH  N
Sausage,SAW-sij,S AO  S AH  JH
Stuffing,STUH-fing,S T AH  F IH  NG
Brownies,BROW-neez,B R AW  N IY  Z
Cookies,KOO-keez,K UH  K IY  Z
Donuts,DOH-nutz,D OW  N AH  T S
Turkey,TUR-kee,T ER  K IY
Cranberry,KRAN-behr-ee,K R AE  N B EH  R IY
Gravy,GRAY-vee,G R EY  V IY
Soup,SOOP,S UW  P
Ham,HAM,HH AE  M
Sushi,SOO-shee,S UW  SH IY
Teriyaki,tayr-ee-YAH-kee,T EH  R IH  Y AA  K IY
Popcorn,POP-korn,P AA  P K AO  R N
Shrimp,SHRIMP,SH R IH  M P
Lasagna,luh-ZAHN-yuh,L AA  S AA  N Y AH
Ravioli,rah-vee-OH-lee,R AE  V IY  OW  L IY
Gelatin,JEL-uh-tin,JH EH  L AH  T AH  N
Pudding,PUH-ding,P UH  D IH  NG
Meatballs,MEET-bawlz,M IY  T B AO  L Z
Nachos,NAH-chohz,N AA  CH OW  Z
Crepes,KRAYPS,K R EY  P S
Croissant,krwah-SAHN,K W AA  S AA  N T
Applesauce,AP-ul-saws,AE  P AH  L S AO  S
Potato,puh-TAY-toh,P AH  T EY  T OW
Cantaloupe,KAN-tuh-lohp,K AE  N T AH  L OW  P
Apple,AP-ul,AE  P AH  L
Orange,AWR-inj,AO  R AH  N JH
Strawberries,STRAW-bare-eez,S T R AO  B EH  R IY  Z
Peaches,PEE-chiz,P IY  CH AH  Z
Honeydew,HUN-ee-doo,HH AH  N IY  D UW
Gingerbread,JIN-jur-bred,JH IH  N JH ER  B R EH  D
Mango,MANG-goh,M AE  NG G OW
Raspberries,RAZ-bare-eez,R AE  Z B EH  R IY  Z
Blueberries,BLOO-bare-eez,B L UW  B EH  R IY  Z
Corn,KORN,K AO  R N
Countries,,K AH  N T R IY  Z
Afghanistan,af-GAN-ih-stan,AE  F G AE  N AH  S T AE  N
Albania,al-BAY-nee-uh,AE  L B EY  N IY  AH
Algeria,al-JEER-ee-uh,AE  L JH IH  R IY  AH
Andorra,an-DOR-uh,AE  N D AO  R AH
Angola,an-GOH-luh,AE  NG G OW  L AH
Argentina,ar-juhn-TEE-nuh,AA  R JH AH  N T IY  N AH
Armenia,ar-MEE-nee-uh,AA  R M IY  N IY  AH
Australia,aw-STRAY-lee-uh,AO  S T R EY  L Y AH
Austria,AWST-ree-uh,AO  S T R IY  AH
Azerbaijan,ah-zur-by-ZHAHN,AA  Z ER  B AY  JH AA  N
B,,B IY
Bahrain,bah-RAYN,B AA  R EY  N
Bangladesh,bahng-gluh-DESH,B AE  NG L AH  D EH  SH
Barbados,bar-BAY-dohs,B AA  R B EY  D OW  S
Belarus,bel-uh-ROOS,B EH  L AA  R AH  S
Belgium,BEL-juhm,B EH  L JH AH  M
Belize,buh-LEEZ,B EH  L IY  Z
Benin,beh-NEEN,B IY  N IH  N
Bhutan,boo-TAHN,B UW  T AE  N
Bolivia,buh-LIV-ee-uh,B AH  L IH  V IY  AH
Botswana,bots-WAH-nuh,B AA  T S W AA  N AH
Brazil,bruh-ZIL,B R AH  Z IH  L
Brunei,broo-NIGH,B R UW  N AY
Bulgaria,bul-GAIR-ee-uh,B AH  L G EH  R IY  AH
Burundi,buh-ROON-dee,B ER  AH  N D IY
C,,S IY
Cambodia,kam-BOH-dee-uh,K AE  M B OW  D IY  AH
Cameroon,KAM-uh-roon,K AE  M ER  UW  N
Canada,KAN-uh-duh,K AE  N AH  D AH
Chad,CHAD,CH AE  D
Chile,CHIL-ee,CH IH  L IY
China,CHY-nuh,CH AY  N AH
Colombia,kuh-LUM-bee-uh,K AH  L AH  M B IY  AH
Croatia,kroh-AY-shuh,K R OW  EY  SH AH
Cuba,KYOO-buh,K Y UW  B AH
Cyprus,SY-pruhs,S AY  P R AH  S
D,,D IY
Denmark,DEN-mark,D EH  N M AA  R K
Djibouti,jih-BOO-tee,JH IH  B UW  T IY
Dominica,dom-in-EE-kuh,D AH  M IH  N IH  K AH
E,,IY
Ecuador,EK-wuh-dor,EH  K W AH  D AO  R
Egypt,EE-jipt,IY  JH AH  P T
Eritrea,er-ih-TRAY-uh,EH  R IH  T R IY  AH
Estonia,es-TOH-nee-uh,EH  S T OW  N IY  AH
Ethiopia,ee-thee-OH-pee-uh,IY  TH IY  OW  P IY  AH
F,,EH  F
Fiji,FEE-jee,F IY  JH IY
Finland,FIN-luhnd,F IH  N L AE  N D
France,FRANS,F R AE  N S
G,,JH IY
Gabon,gah-BOHN,G AH  B AA  N
Georgia,JOR-juh,JH AO  R JH AH
Germany,JUR-muh-nee,JH ER  M AH  N IY
Ghana,GAH-nuh,G AE  N AH
Greece,GREESS,G R IY  S
Grenada,gruh-NAY-duh,G R IH  N EY  D AH
Guatemala,gwah-tuh-MAH-luh,G W AA  T AH  M AA  L AH
Guinea,GIN-ee,G IH  N IY
Guyana,gy-AH-nuh,G AY  AA  N AH
H,,EY  CH
Haiti,HAY-tee,HH EY  T IY
Honduras,hon-DOO-ruhs,HH AA  N D UH  R AH  S
Hungary,HUNG-guh-ree,HH AH  NG G ER  IY
I,,AY
Iceland,EYE-sland,AY  S L AH  N D
India,IN-dee-uh,IH  N D IY  AH
Indonesia,in-duh-NEE-zhuh,IH  N D OW  N IY  ZH AH
Iran,ee-RAHN,IH  R AA  N
Iraq,ee-RAHK,IH  R AA  K
Ireland,EYE-er-luhnd,AY  ER  L AH  N D
Israel,IZ-ray-uhl,IH  Z R IY  AH  L
Italy,IT-uh-lee,IH  T AH  L IY
J,,JH EY
Jamaica,juh-MAY-kuh,JH AH  M EY  K AH
Japan,juh-PAN,JH AH  P AE  N
Jordan,JOR-duhn,JH AO  R D AH  N
K,,K EY
Kazakhstan,kah-ZAHK-stan,K AA  Z AA  K S T AA  N
Kenya,KEN-yuh,K EH  N Y AH
Kiribati,kir-ih-BAH-tee,K IH  R IH  B AA  T IY
Kosovo,KOH-suh-voh,K OW  S OW  V OW
Kuwait,koo-WAYT,K UW  W EY  T
Kyrgyzstan,kur-GEEZ-stan,K IH  R G IH  S T AE  N
L,,EH  L
Laos,LAH-ohss,L AA  OW  S
Latvia,LAT-vee-uh,L AE  T V IY  AH
Lebanon,LEH-buh-non,L EH  B AH  N AH  N
Lesotho,leh-SOO-too,L EH  S OW  TH OW
Liberia,ly-BEER-ee-uh,L AY  B IH  R IY  AH
Libya,LIB-ee-uh,L IH  B IY  AH
Liechtenstein,LIK-ten-shtyn,L IH  K T AH  N S T AY  N
Lithuania,lith-oo-AY-nee-uh,L IH  TH AH  W EY  N IY  AH
Luxembourg,LUK-suhm-burg,L AH  K S AH  M B AO  R G
M,,EH  M
Madagascar,mad-uh-GAS-kar,M AE  D AH  G AE  S K ER
Malawi,muh-LAH-wee,M AH  L AA  W IY
Malaysia,muh-LAY-zhuh,M AH  L EY  ZH AH
Maldives,MAL-deevz,M AO  L D AY  V Z
Mali,MAH-lee,M AA  L IY
Malta,MAWL-tuh,M AO  L T AH
Mauritania,mahr-uh-TAY-nee-uh,M AO  R IH  T EY  N IY  AH
Mauritius,muh-RISH-uhs,M AO  R IH  T IY  AH  S
Mexico,MEK-si-koh,M EH  K S AH  K OW
Moldova,mol-DOH-vuh,M OW  L D OW  V AH
Monaco,MON-uh-koh,M AA  N AH  K OW
Mongolia,mon-GOH-lee-uh,M AA  NG G OW  L IY  AH
Montenegro,mon-teh-NAY-groh,M AA  N T AH  N EY  G R OW
Morocco,muh-ROH-koh,M ER  AA  K OW
Mozambique,moh-zam-BEEK,M OW  Z AE  M B IY  K
N,,EH  N
Namibia,nuh-MIB-ee-uh,N AH  M IH  B IY  AH
Nepal,neh-PAHL,N AH  P AO  L
Netherlands,NETH-er-luhndz,N EH  DH ER  L AH  N D Z
Nicaragua,nih-kah-RAH-gwuh,N IH  K ER  AA  G W AH
Niger,nee-ZHAIR,N AY  JH ER
Nigeria,nye-JEER-ee-uh,N AY  JH IH  R IY  AH
Norway,NOR-way,N AO  R W EY
O,,OW
Oman,oh-MAHN,OW  M AA  N
P,,P IY
Pakistan,PAH-kih-stan,P AE  K IH  S T AE  N
Palau,puh-LOW,P AE  L AW
Panama,PAN-uh-mah,P AE  N AH  M AA
Paraguay,PAH-ruh-gway,P EH  R AH  G W EY
Peru,puh-ROO,P ER  UW
Philippines,FIL-uh-peenz,F IH  L AH  P IY  N Z
Poland,POH-luhnd,P OW  L AH  N D
Portugal,POR-chuh-guhl,P AO  R CH AH  G AH  L
Q,,K Y UW
Qatar,kuh-TAR,K AH  T AA  R
R,,AA  R
Romania,roh-MAY-nee-uh,R OW  M EY  N IY  AH
Russia,RUH-shuh,R AH  SH AH
Rwanda,roo-AHN-duh,R AH  W AA  N D AH
S,,EH  S
Samoa,suh-MOH-uh,S AH  M OW  AH
Senegal,sen-uh-GAHL,S EH  N AH  G AO  L
Serbia,SUR-bee-uh,S ER  B IY  AH
Singapore,SING-uh-pohr,S IH  NG AH  P AO  R
Slovakia,sloh-VAH-kee-uh,S L OW  V AA  K IY  AH
Slovenia,sloh-VEE-nee-uh,S L OW  V IY  N IY  AH
Somalia,soh-MAH-lee-uh,S AH  M AA  L IY  AH
Spain,SPAYN,S P EY  N
Sudan,soo-DAN,S UW  D AE  N
Suriname,SOOR-ih-nahm,S ER  IH  N AA  M
Sweden,SWEE-dn,S W IY  D AH  N
Switzerland,SWIT-ser-luhnd,S W IH  T S ER  L AH  N D
Syria,SEER-ee-uh,S IH  R IY  AH
T,,T IY
Taiwan,ty-WAHN,T AY  W AA  N
Tajikistan,tah-JEEK-ih-stan,T AA  JH IY  K IH  S T AE  N
Tanzania,tan-zuh-NEE-uh,T AE  N Z EY  N IY  AH
Thailand,TIE-land,T AY  L AE  N D
Togo,TOH-goh,T OW  G OW
Tunisia,too-NIZH-uh,T UW  N IY  ZH AH
Turkey,TUR-kee,T ER  K IY
Turkmenistan,turk-MEN-ih-stan,T ER  K M EH  N IH  S T AE  N
U,,Y UW
Uganda,yoo-GAN-duh,Y UW  G AE  N D AH
Ukraine,yoo-KRAYN,Y UW  K R EY  N
Uruguay,YOOR-uh-gway,Y ER  AH  G W EY
Uzbekistan,ooz-BEK-ih-stan,UW  Z B EH  K IH  S T AE  N
V,,V IY
Vanuatu,van-WAH-too,V AE  N UW  AA  T UW
Venezuela,ven-uh-ZWAY-luh,V EH  N IH  Z W EY  L AH
Vietnam,vee-et-NAHM,V IY  EH  T N AA  M
Y,,W AY
Yemen,YEH-men,Y EH  M AH  N
Z,,Z IY
Zambia,ZAM-bee-uh,Z AE  M B IY  AH
Zimbabwe,zim-BAHB-way,Z IH  M B AA  B W EY
States,,S T EY  T S
Alabama,al-uh-BAM-uh,AE  L AH  B AE  M AH
Alaska,uh-LAS-kuh,AH  L AE  S K AH
Arizona,air-uh-ZOH-nuh,EH  R IH  Z OW  N AH
Arkansas,AR-kan-saw,AA  R K AH  N S AA
California,kal-uh-FORN-yuh,K AE  L AH  F AO  R N Y AH
Colorado,kol-uh-RAH-doe,K AA  L ER  AA  D OW
Connecticut,kuh-NET-ih-kut,K AH  N EH  T AH  K AH  T
Delaware,DEL-uh-wair,D EH  L AH  W EH  R
Florida,FLOR-uh-duh,F L AO  R AH  D AH
Georgia,JOR-juh,JH AO  R JH AH
Hawaii,huh-WAI-ee,HH AH  W AY  IY
Idaho,EYE-duh-hoh,AY  D AH  HH OW
Illinois,il-luh-NOY,IH  L AH  N OY
Indiana,in-dee-AN-uh,IH  N D IY  AE  N AH
Iowa,EYE-uh-wuh,AY  AH  W AH
Kansas,KAN-zuhs,K AE  N Z AH  S
Kentucky,ken-TUHK-kee,K AH  N T AH  K IY
Louisiana,loo-ee-zee-AN-uh,L UW  IY  Z IY  AE  N AH
Maine,mayn,M EY  N
Maryland,MAIR-uh-luhnd,M EH  R AH  L AH  N D
Massachusetts,mas-uh-CHOO-sits,M AE  S AH  CH UW  S AH  T S
Michigan,MISH-uh-gun,M IH  SH IH  G AH  N
Minnesota,min-uh-SOH-tuh,M IH  N IH  S OW  T AH
Mississippi,miss-uh-SEE-pee,M IH  S IH  S IH  P IY
Missouri,miz-UR-ee,M AH  Z UH  R IY
Montana,mon-TAN-uh,M AA  N T AE  N AH
Nebraska,nuh-BRAS-kuh,N AH  B R AE  S K AH
Nevada,nuh-VAH-duh,N AH  V AA  D AH
Ohio,oh-HI-oh,OW  HH AY  OW
Oklahoma,oh-kluh-HOH-muh,OW  K L AH  HH OW  M AH
Oregon,OR-uh-gun,AO  R AH  G AH  N
Pennsylvania,pen-sil-VAYN-yuh,P EH  N S AH  L V EY  N Y AH
Tennessee,ten-uh-SEE,T EH  N AH  S IY
